Date,Rot,VH,Team,1st,2nd,3rd,4th,Final,Open,Close,ML,2H
907,339,V,Southern Miss,0,0,7,8,15,51.5,51,600,21.5
907,340,H,Mississippi State,7,14,7,10,38,16.5,16,-900,7
907,341,V,Illinois,0,24,7,0,31,20,21.5,-2000,11
907,342,H,Connecticut,13,0,7,3,23,66,59.5,1000,27
907,343,V,Arkansas State,10,13,10,10,43,65,1,-120,27.5
907,344,H,UNLV,0,3,7,7,17,2,64,100,0.5
907,345,V,Tex San Antonio,0,0,7,7,14,56,59,1200,23.5
907,346,H,Baylor,14,21,14,14,63,26,25.5,-3000,10
907,347,V,New Mexico State,0,0,7,3,10,64,65,250000,22
907,348,H,Alabama,21,17,24,0,62,54,55,-750000,17
907,349,V,San Diego State,10,0,10,3,23,47.5,44.5,250,21.5
907,350,H,UCLA,7,0,7,0,14,7,7.5,-310,4.5
907,351,V,UL Monroe,0,7,14,17,44,61,65.5,1100,28.5
907,352,H,Florida State,14,10,0,14,45,21,23,-2500,8
907,353,V,Wyoming,0,10,10,3,23,8,7.5,-300,3.5
907,354,H,Texas State,7,7,0,0,14,46.5,48,240,23.5
907,355,V,North Texas,0,14,6,7,27,68.5,73,145,35
907,356,H,SMU,21,7,14,7,49,4,4,-170,pk
907,357,V,BYU,3,0,7,6,29,51.5,52,140,24
907,358,H,Tennessee U,7,6,0,3,26,3,3,-160,1
907,359,V,Central Florida,14,14,13,7,48,9,13.5,-550,6
907,360,H,Florida Atlantic,0,6,0,8,14,71.5,69,400,31
907,361,V,Western Kentucky,14,0,3,3,20,57,57.5,275,25
907,362,H,Florida Intl,7,0,7,0,14,8.5,8,-350,3.5
907,363,V,Coastal Carolina,0,6,6,0,12,52.5,54,225,25
907,364,H,Kansas,7,0,0,0,7,10.5,7,-275,2
907,365,V,Liberty,7,7,0,0,14,66,65.5,500,32
907,366,H,UL Lafayette,7,14,14,0,35,13,14.5,-700,7
907,367,V,Western Michigan,0,7,0,10,17,47,46.5,500,22
907,368,H,Michigan State,21,10,6,14,51,17.5,14.5,-700,6.5
907,369,V,LSU,3,17,3,22,45,4.5,6,-240,3
907,370,H,Texas,0,7,14,17,38,54,57,190,28
907,371,V,Tulane,3,3,0,0,6,50,51,600,23.5
907,372,H,Auburn,0,14,7,3,24,18,16.5,-900,6.5
907,373,V,Arkansas,0,3,0,14,17,55.5,50.5,180,23
907,374,H,Mississippi,7,3,7,14,31,7.5,5,-220,1
907,375,V,Nevada,3,3,0,0,6,63.5,62.5,1100,24.5
907,376,H,Oregon,7,28,28,14,77,23,24,-2500,8.5
907,377,V,Buffalo U,0,10,3,0,13,58,57,1800,28
907,378,H,Penn State,7,0,28,10,45,24,32,-8000,13.5
907,379,V,Eastern Michigan,0,3,7,7,17,52,52,525,23.5
907,380,H,Kentucky,14,3,7,14,38,14,15.5,-750,6.5
907,381,V,UTEP,0,0,0,3,3,65,64,7000,27
907,382,H,Texas Tech,7,14,10,7,38,33.5,35,-18500,14
907,383,V,Miami Florida,3,10,6,6,25,6,5,-220,3.5
907,384,H,North Carolina,17,0,3,8,28,48.5,46,180,23.5
907,385,V,Stanford,7,13,0,0,20,43.5,43.5,140,24.5
907,386,H,USC,3,21,7,14,45,3.5,3,-160,0.5
907,387,V,California,0,3,14,3,20,44.5,43.5,425,20
907,388,H,Washington,0,10,3,6,19,12.5,13.5,-600,4.5
907,389,V,Minnesota U,7,7,0,14,38,2.5,3,-155,22
907,390,H,Fresno State,0,10,11,7,35,47.5,46,135,pk
907,391,V,Oregon State,14,14,0,0,28,77,78.5,260,38.5
907,392,H,Hawaii,7,14,7,3,31,5,7,-330,4
907,397,V,Charleston Sou,3,0,0,7,10,NL,NL,11000,20.5
907,398,H,South Carolina,21,23,7,21,72,36,35.5,-33000,10.5
907,399,V,Southern,7,10,7,0,24,NL,NL,27500,27.5
907,400,H,Memphis,17,10,21,7,55,41,40.5,-82500,17
907,401,V,Kennesaw St,3,13,0,7,23,NL,NL,165,26.5
907,402,H,Kent State,3,7,7,6,26,5,3.5,-190,3
907,403,V,Western Carolina,0,0,0,0,0,NL,NL,30000,24
907,404,H,NC State,3,21,10,7,41,44.5,39.5,-90000,16.5
907,405,V,Fordham,14,0,15,0,29,NL,NL,3500,21.5
907,406,H,Ball State,14,14,22,7,57,29.5,29.5,-8500,14
907,407,V,Tennessee Tech,3,0,0,14,17,NL,NL,14000,25.5
907,408,H,Miami Ohio,10,31,0,7,48,41.5,37,-42000,10.5
907,409,V,So Illinois,0,17,14,14,45,NL,NL,190,37
907,410,H,Massachusetts,6,7,0,7,20,4.5,6.5,-230,3.5
907,411,V,Eastern Illinois,0,0,0,0,0,NL,NL,12000,26.5
907,412,H,Indiana,21,14,7,10,52,35.5,36.5,-36000,14.5
907,413,V,Richmond,0,10,0,3,13,NL,NL,7500,24.5
907,414,H,Boston College,21,14,10,0,45,33.5,33.5,-20000,14
907,415,V,Grambling,0,0,7,7,14,NL,NL,4000,21.5
907,416,H,Louisiana Tech,7,13,0,0,20,30,30.5,-10000,10.5
907,417,V,Murray St,7,0,10,0,17,NL,NL,135000,22.5
907,418,H,Georgia,7,35,7,14,63,48.5,49.5,-405000,14
907,419,V,Western Illinois,3,3,0,7,13,NL,NL,450,28
907,420,H,Colorado State,14,14,7,3,38,9.5,14,-600,7.5
907,421,V,NO.Colorado,7,3,0,7,17,NL,NL,50000,24.5
